,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,12,ショーン・マーフィー,.193,72,264,233,45,5,1,10,82,25,19,67,27,3,0,1,0,0,7,.284,.352,.636,.164,5,アトランタ・ブレーブス
1,捕,16,トラビス・ダーノー,.238,99,341,307,73,16,0,15,134,48,40,89,24,6,0,4,1,0,8,.302,.436,.739,.244,4,アトランタ・ブレーブス
2,捕,45,チャドウィック・トロンプ,.250,19,54,52,13,6,0,0,19,6,3,17,1,0,0,1,0,0,2,.259,.365,.625,.300,0,アトランタ・ブレーブス
3,内,1,オジー・アルビーズ,.251,99,435,399,100,29,1,10,161,53,52,65,27,5,0,4,8,1,6,.303,.404,.707,.322,3,アトランタ・ブレーブス
4,内,8,キャバン・ビジオ,.197,78,224,188,37,5,0,5,57,19,27,72,24,8,2,0,2,0,1,.314,.303,.617,.212,7,アトランタ・ブレーブス
5,内,9,ジョバンニ・ウルシェラ,.250,128,461,432,108,19,1,9,156,52,34,72,23,1,0,5,0,0,13,.286,.361,.647,.240,6,アトランタ・ブレーブス
6,内,11,オルランド・アルシア,.218,157,602,551,120,24,0,17,195,46,50,128,41,2,1,7,2,0,16,.271,.354,.625,.155,11,アトランタ・ブレーブス
7,内,17,ナチョ・アルバレスＪｒ．,.100,8,32,30,3,0,0,0,3,0,1,10,0,2,0,0,0,0,1,.156,.100,.256,.200,0,アトランタ・ブレーブス
8,内,27,オースティン・ライリー,.256,110,469,425,109,26,2,19,196,56,63,118,37,5,0,2,0,0,6,.322,.461,.783,.238,10,アトランタ・ブレーブス
9,内,28,マット・オルソン,.247,162,685,600,148,37,1,29,274,98,78,170,71,9,0,5,0,0,15,.333,.457,.790,.298,6,アトランタ・ブレーブス
10,外,2,ホルヘ・ソレア,.241,142,574,493,119,34,1,21,218,64,84,141,68,6,0,4,1,0,9,.338,.442,.780,.255,1,アトランタ・ブレーブス
11,外,13,ロナルド・アクーニャ,.250,49,222,192,48,8,1,4,70,15,38,53,27,3,0,0,16,3,4,.351,.365,.716,.227,2,アトランタ・ブレーブス
12,外,14,アダム・デュバル,.182,104,330,303,55,10,0,11,98,30,29,99,21,5,0,1,0,0,6,.245,.323,.569,.200,2,アトランタ・ブレーブス
13,外,15,ウィット・メリーフィールド,.222,95,335,293,65,9,3,4,92,15,44,52,35,3,4,0,17,3,7,.311,.314,.625,.127,5,アトランタ・ブレーブス
14,外,18,ラモン・ラウレアーノ,.259,98,309,286,74,16,1,11,125,33,35,96,15,7,0,1,8,3,5,.311,.437,.748,.239,1,アトランタ・ブレーブス
15,外,23,マイケル・ハリスII,.264,110,470,440,116,14,3,16,184,48,58,94,23,4,0,3,10,6,6,.304,.418,.722,.299,2,アトランタ・ブレーブス
16,外,24,ジャレド・ケリニック,.231,131,449,412,95,18,2,15,162,45,49,133,32,1,1,3,7,2,5,.286,.393,.679,.284,3,アトランタ・ブレーブス
17,外,36,エリ・ホワイト,.282,35,42,39,11,1,1,1,17,4,9,12,1,2,0,0,3,1,1,.333,.436,.769,.286,0,アトランタ・ブレーブス
18,外,65,ルーク・ウィリアムズ,.196,37,52,46,9,3,0,0,12,4,8,13,4,1,1,0,3,0,1,.275,.261,.535,.167,2,アトランタ・ブレーブス
19,指,20,マルセル・オズナ,.302,162,688,606,183,31,0,39,331,104,96,170,74,3,0,4,1,0,23,.378,.546,.925,.271,0,アトランタ・ブレーブス
