,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,24,ザック・エフリン,3.59,28,28,0,0,13,10,9,0,0,.526,165.1,166,22,134,7.29,24,3,2,0,71,66,.254,5.58,1.15,ボルチモア・オリオールズ
1,28,トレーバー・ロジャーズ,4.92,25,25,0,0,3,2,11,0,0,.154,124.1,140,14,97,7.02,56,4,1,1,74,68,.285,1.73,1.58,ボルチモア・オリオールズ
2,30,グレイソン・ロドリゲス,3.86,20,20,0,0,11,13,4,0,0,.765,116.2,109,15,130,10.03,36,5,6,0,52,50,.243,3.61,1.24,ボルチモア・オリオールズ
3,37,ケイド・ポヴィッチ,5.20,16,16,0,0,3,3,9,0,0,.250,79.2,80,12,69,7.79,34,3,1,0,49,46,.256,2.03,1.43,ボルチモア・オリオールズ
4,38,カイル・ブラディッシュ,2.75,8,8,0,0,2,2,0,0,0,1.000,39.1,27,2,53,12.13,15,3,2,0,12,12,.188,3.53,1.07,ボルチモア・オリオールズ
5,39,コービン・バーンズ,2.92,32,32,0,0,22,15,9,0,0,.625,194.1,165,22,181,8.38,48,2,7,3,76,63,.226,3.77,1.10,ボルチモア・オリオールズ
6,40,バーク・スミス,4.95,50,0,0,0,0,4,1,4,0,.800,56.1,64,6,46,7.35,12,2,3,1,34,31,.288,3.83,1.35,ボルチモア・オリオールズ
7,43,ブライアン・ベーカー,5.01,19,0,0,0,0,1,1,3,0,.500,23.1,20,3,23,8.87,7,0,0,0,14,13,.235,3.29,1.16,ボルチモア・オリオールズ
8,45,キーガン・アキン,3.32,66,0,0,0,0,3,1,6,1,.750,78.2,55,9,97,11.10,19,2,4,0,31,29,.193,5.11,0.94,ボルチモア・オリオールズ
9,47,ジョン・ミーンズ,2.61,4,4,0,0,2,2,0,0,0,1.000,20.2,16,2,16,6.97,2,1,0,0,6,6,.211,8.00,0.87,ボルチモア・オリオールズ
10,49,アルバート・スアレス,3.70,32,24,0,0,7,9,7,1,0,.563,133.2,130,17,108,7.27,43,3,2,1,56,55,.255,2.51,1.29,ボルチモア・オリオールズ
11,51,マット・ボウマン,4.40,25,1,0,0,0,1,0,3,0,1.000,30.2,26,5,24,7.04,13,2,0,0,15,15,.222,1.85,1.27,ボルチモア・オリオールズ
12,54,ダニー・クーロム,2.12,33,0,0,0,0,1,0,13,1,1.000,29.2,15,3,32,9.71,5,0,2,0,7,7,.147,6.40,0.67,ボルチモア・オリオールズ
13,56,セランソニー・ドミンゲス,4.45,63,0,0,0,0,3,4,6,11,.429,58.2,52,12,68,10.43,21,2,8,1,32,29,.225,3.24,1.24,ボルチモア・オリオールズ
14,58,シオネル・ペレス,4.53,62,0,0,0,0,2,0,22,2,1.000,53.2,47,0,46,7.71,28,5,6,0,29,27,.232,1.64,1.40,ボルチモア・オリオールズ
15,60,コリン・セルビー,2.57,5,0,0,0,0,0,0,0,0,.000,7,3,0,5,6.43,4,1,1,0,3,2,.130,1.25,1.00,ボルチモア・オリオールズ
16,60,チェース・マクダーモット,6.75,1,1,0,0,0,0,0,0,0,.000,4,5,1,3,6.75,2,0,0,0,3,3,.333,1.50,1.75,ボルチモア・オリオールズ
17,64,ディーン・クレーメル,4.10,24,24,0,0,9,8,10,0,0,.444,129.2,110,18,123,8.54,51,3,1,1,72,59,.223,2.41,1.24,ボルチモア・オリオールズ
18,65,グレゴリー・ソト,4.42,66,0,0,0,0,3,5,11,2,.375,53,56,4,65,11.04,27,8,4,1,30,26,.272,2.41,1.57,ボルチモア・オリオールズ
19,68,タイラー・ウェルズ,5.87,3,3,0,0,1,0,2,0,0,.000,15.1,18,3,13,7.63,3,0,0,0,11,10,.281,4.33,1.37,ボルチモア・オリオールズ
20,71,ジェイコブ・ウェブ,3.02,60,0,0,0,0,2,5,14,2,.286,56.2,40,4,58,9.21,27,1,0,0,23,19,.192,2.15,1.18,ボルチモア・オリオールズ
21,74,フェリックス・バティスタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボルチモア・オリオールズ
22,78,ヤニエル・カノ,3.15,70,0,0,0,0,4,3,34,5,.571,60,54,6,65,9.75,24,1,0,1,24,21,.242,2.71,1.30,ボルチモア・オリオールズ
23,-,ブルックス・クリスキー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボルチモア・オリオールズ
24,27,ジェームズ・マキャン,18.00,1,0,0,0,0,0,0,0,0,.000,1,2,1,0,0.00,0,0,0,0,2,2,.400,0.00,2.00,ボルチモア・オリオールズ
25,26,エマニュエル・リベラ,9.00,4,0,0,0,0,0,0,0,0,.000,4,7,1,0,0.00,0,1,0,0,4,4,.368,0.00,1.75,ボルチモア・オリオールズ
